domain,target,feature,n_queries,n_comparisons,effect,effect_lo,effect_hi,direction,matched_effect,matched_effect_lo,matched_effect_hi,matched_direction,matched_n_comparisons,shap_share,shap_direction
en/hosting,y_top,lex_superlative,10,6850,-0.1781021897810219,-0.30735743642677665,-0.006186831410369327,down,-0.20330578512396694,-0.44318119619843754,0.1990484944847459,flat,605,0.01323292675717971,-0.48653904728563685
en/hosting,y_top,snippet_words,10,6850,0.10656934306569343,-0.011743351555528983,0.22746528378336703,flat,0.24462809917355371,-0.02609221918432444,0.4368991575020901,flat,605,0.044736211276077485,0.2548564895122678
en/hosting,y_top,snippet_has_year,10,6850,0.1032116788321168,0.061217112307309515,0.15648953586715142,up,-0.03305785123966942,-0.14707885099565118,0.07352510343449538,flat,605,0.004246031251197651,0.5870549311265124
en/hosting,y_top,snippet_digit_share,10,6850,-0.07313868613138687,-0.1746436840371443,0.03740056954820519,flat,-0.07933884297520662,-0.2445857976422022,0.19277536133999726,flat,605,0.23370882505251342,-0.1583981432060743
en/travel,y_top,in_search_results,10,19994,0.6123837151145344,0.49876160641585554,0.7198194781705323,up,0.6123837151145344,0.49876160641585554,0.7198194781705323,up,19994,0.0,
en/travel,y_top,n_results_mentioning,10,4801,0.6581962091230994,0.4222717028361058,0.8178364327732449,up,0.6581962091230994,0.4222717028361058,0.8178364327732449,up,4801,0.015861683450813093,0.5369640231408023
en/travel,y_top,best_position,10,4801,0.5121849614663612,0.3724061250333009,0.6459605332683006,up,0.350597609561753,-0.09022575931781163,0.6515258617943163,flat,753,0.26701750098641724,0.8286657390151541
en/travel,y_top,n_official,10,4801,-0.20245782128723183,-0.4434015166376184,-0.015708720639136267,down,-0.37715803452855245,-0.6045104343320143,-0.15628578692932485,down,753,0.05558859282333842,-0.8388553389681901
en/travel,y_top,n_editorial,10,4801,0.02353676317433868,-0.09230928511755579,0.1443660706633404,flat,-0.06241699867197875,-0.1990032450356908,0.12028417673716003,flat,753,0.016161102189404444,0.4374640343441069
en/travel,y_top,n_affiliate,10,4801,0.12580712351593418,0.0053553283967394515,0.29947803304034476,up,-0.021248339973439574,-0.07416390000976467,0.012462358570551488,flat,753,0.005812653003053307,-0.004005549559713803
en/travel,y_top,n_forum,10,4801,0.5830035409289731,0.3714059322862074,0.7298711942801678,up,0.30278884462151395,-0.003205128205128205,0.6266788998861347,flat,753,0.03238252198931169,0.6151656936369764
en/travel,y_top,n_retailer,10,4801,0.059987502603624246,-0.014434157385021731,0.1789116043481606,flat,-0.055776892430278883,-0.20004032258064516,-0.002572571972739759,down,753,0.00567844168086556,0.12380274310763682
en/travel,y_top,n_unknown,10,4801,0.6367423453447199,0.37465298404164254,0.8086243501632933,up,0.16600265604249667,-0.101004448316205,0.560212668850871,flat,753,0.13858443401791395,0.8844436671742522
en/travel,y_top,lex_authority,10,4801,-0.013538846073734638,-0.037138381193651177,0.0,flat,-0.0199203187250996,-0.056297801866907554,0.0,flat,753,0.01982770570485515,-0.33969134216901237
en/travel,y_top,lex_social_proof,10,4801,-0.0054155384294938555,-0.021324164872415563,0.010102526418923646,flat,-0.02656042496679947,-0.10961750242521491,0.0013092905932526608,flat,753,0.0036755122247465978,0.06780367877006574
en/travel,y_top,lex_specificity,10,4801,-0.0029160591543428453,-0.016182099333456025,0.007045009581183628,flat,-0.00398406374501992,-0.021798443953852727,0.01619146500981033,flat,753,0.0,
en/travel,y_top,lex_hedging,10,4801,0.06207040199958342,0.007986241081761896,0.12673327203367196,up,0.1845949535192563,-0.01894361609727852,0.43242342342342327,flat,753,0.002621127075816803,-0.14925228940575655
en/travel,y_top,lex_superlative,10,4801,-0.161632993126432,-0.2930793018778214,-0.025031319624986326,down,-0.28950863213811423,-0.4494419166124988,-0.008128442171518492,down,753,0.051115805888743246,-0.6893335506657741
en/travel,y_top,snippet_words,10,4801,0.24807331805873775,0.06344626777338146,0.39458774030289634,up,0.1049136786188579,-0.3573511468172907,0.49465729701879174,flat,753,0.20046276874074423,0.6447315822567857
en/travel,y_top,snippet_has_year,10,4801,0.1914184544886482,0.004389371942099139,0.3373222818629995,up,-0.014608233731739707,-0.12794616732740152,0.11992659680995636,flat,753,0.008979643441155854,-0.4605194462967736
en/travel,y_top,snippet_digit_share,10,4801,-0.07394292855655071,-0.21310773461219013,0.0328857256278539,flat,-0.15803452855245684,-0.40000554323725057,0.09371814738292006,flat,753,0.059388158268791756,-0.5821647633351855
en/vpn,y_top,in_search_results,10,22425,0.6577034559643256,0.6205468516116156,0.6851665378769766,up,0.6577034559643256,0.6205468516116156,0.6851665378769766,up,22425,0.0,
en/vpn,y_top,n_results_mentioning,10,7626,0.8287437713086808,0.7378909875907678,0.8997669337435102,up,0.8287437713086808,0.7378909875907678,0.8997669337435102,up,7626,0.36539282091034936,0.9662950717681155
en/vpn,y_top,best_position,10,7626,0.4741673223183845,0.38464807183947586,0.5685250838141458,up,-0.06439393939393939,-0.13521262842757023,0.0821917808219178,flat,264,0.2613068709600066,0.5554488615724005
en/vpn,y_top,n_official,10,7626,0.22987149226330972,0.1270557433500068,0.32305913827609106,up,-0.10984848484848485,-0.1565253623188406,-0.03867403314917127,down,264,0.0022317849159780336,-0.0207090694152672
en/vpn,y_top,n_editorial,10,7626,0.7374770521898767,0.6434181721426563,0.8252630901716743,up,-0.26136363636363635,-0.5517468239564428,0.05608303124061957,flat,264,0.13135136211492326,0.8850499043966941
en/vpn,y_top,n_affiliate,10,7626,0.533569367951744,0.31449650536246104,0.7526767680885827,up,-0.11363636363636363,-0.443602534562212,0.265919909226767,flat,264,0.0156354497826113,0.39112256794745603
en/vpn,y_top,n_forum,10,7626,0.7128245476003147,0.5860390940339079,0.8362295535862176,up,0.36742424242424243,-0.2676500743838205,0.7114922103213241,flat,264,0.04770408556079265,0.8799935376244634
en/vpn,y_top,n_retailer,10,7626,0.011146079202727512,-0.00024975484114887937,0.02854051129446774,flat,-0.003787878787878788,-0.015710961522479847,0.0,flat,264,0.0,
en/vpn,y_top,n_unknown,10,7626,0.39076842381327037,0.25013066568747017,0.5211675770966474,up,-0.03787878787878788,-0.11277007248396989,0.028798294697575257,flat,264,0.006804442669442751,-0.7075893101654269
en/vpn,y_top,lex_authority,10,7626,0.25531077891424075,0.1446345045920674,0.35938239341112443,up,-0.007575757575757576,-0.09225436863862534,0.13304001800942844,flat,264,0.007931239367074462,0.41194684212812416
en/vpn,y_top,lex_social_proof,10,7626,0.04143718856543404,-0.00013441985859926746,0.09808206099942644,flat,0.003787878787878788,-0.011697626418988647,0.020980861244019138,flat,264,0.0008695968115491461,-0.026168342127930486
en/vpn,y_top,lex_specificity,10,7626,0.19630212431156568,0.10892325137933147,0.29272970088948824,up,-0.030303030303030304,-0.45455622576475657,0.2215793402614502,flat,264,0.011934574507560138,-0.5199277768392455
en/vpn,y_top,lex_hedging,10,7626,0.17060057697351166,0.08283946228624908,0.27751993086611976,up,0.07954545454545454,-0.044241881835607164,0.27446421688295,flat,264,0.0017203563791215425,0.2858371177026814
en/vpn,y_top,lex_superlative,10,7626,-0.24809861001835826,-0.4667935972467873,0.01222491855409892,flat,-0.3522727272727273,-0.6243391076577667,0.17337726792983857,flat,264,0.027044659461917926,-0.5956509804802849
en/vpn,y_top,snippet_words,10,7626,0.3964070285864149,0.213540668269204,0.5534266123657527,up,0.38257575757575757,-0.1791242201689963,0.6959022643636242,flat,264,0.05624675490869833,0.8586192421076723
en/vpn,y_top,snippet_has_year,10,7626,0.08208759506949909,0.03904195658410401,0.13412132938588803,up,-0.007575757575757576,-0.05263931888544891,0.00657930884904569,flat,264,0.0,
