track,domain,target,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi,ndcg@3_lo,ndcg@3_hi,independent_query_groups
en,hosting,y_top,invariant_unseen,26460,735,0.027777777777777776,0.2899023087909467,0.9348516425034541,0.345578231292517,0.5355316245189562,0.024442221291779385,0.18391582367613588,0.47378926431201496,0.2059572992216748,0.5426983875440751,0.39296056136936397,0.6971246722815824,10
en,hosting,y_top,M2_full,26460,735,0.027777777777777776,0.2692218527223542,0.935662733120459,0.345578231292517,0.5617046723323689,0.023094122130759325,0.20064100374101806,0.36504906783030006,0.21993142407464658,0.4813803233607631,0.4083020852423675,0.69187255642061,10
en,travel,y_top,naive_position,20763,769,0.037037037037037035,0.19949677954731188,0.8637802003800099,0.29908972691807545,0.49615681011518253,0.08007309967211176,0.12653764208740909,0.346932153677594,0.148354762178089,0.5113849227639996,0.3548004014904891,0.6682818337346189,10
en,travel,y_top,general_seen,20763,769,0.037037037037037035,0.2868460397161591,0.8685026834448253,0.4460338101430429,0.6039349699702811,0.030212218636683465,0.13701517882309822,0.49423720109843733,0.21818823992459632,0.6273430592396109,0.4034997229311776,0.7614930809911123,10
en,travel,y_top,general_unseen,20763,769,0.037037037037037035,0.2486780555347396,0.8653743067003327,0.4304291287386216,0.6009924343953245,0.032339605914187976,0.1270766305013607,0.3892918418109674,0.21035195845325994,0.6039707104279183,0.39458209974458874,0.763976830984218,10
en,travel,y_top,invariant_seen,20763,769,0.037037037037037035,0.3854499021946505,0.8994071433393607,0.5188556566970091,0.6839077263421943,0.026660127105742174,0.18012333186355658,0.688517249330244,0.288398185483871,0.712599505830783,0.4764779685959833,0.8363408987956865,10
en,travel,y_top,invariant_unseen,20763,769,0.037037037037037035,0.3612663915450613,0.909161109841405,0.49544863459037713,0.6695565511842902,0.02775937806523999,0.17557076374264918,0.6392711446887606,0.26638810696692466,0.6654002784715224,0.4763048387381434,0.8218747312249501,10
en,travel,y_top,M2_full,20763,769,0.037037037037037035,0.553696479493616,0.9088068423127719,0.7555266579973993,0.8184092790172772,0.017919021528397118,0.2405050206961353,0.9782623712450388,0.4747997213514455,0.9659142248026851,0.5724636469018861,0.9826782902400429,10
en,vpn,y_top,naive_position,23400,975,0.041666666666666664,0.19257073451861076,0.9035449218191693,0.26564102564102565,0.4860273365934123,0.1679267735305554,0.16368966395480308,0.2216080411516513,0.21383407748811753,0.3151745747079319,0.411891904738708,0.548451091609504,10
en,vpn,y_top,general_seen,23400,975,0.041666666666666664,0.5317273173978825,0.9573485635880284,0.6184615384615385,0.7694954442124594,0.026638599699507406,0.41501745397243417,0.6502925796689484,0.48258019046716577,0.7389085398862102,0.6710103627559731,0.8605092112572517,10
en,vpn,y_top,general_unseen,23400,975,0.041666666666666664,0.25599990324220157,0.9327522968298888,0.3230769230769231,0.5915807802600817,0.037779675368558245,0.2209465858750192,0.3011682143395473,0.2281352386085869,0.41683910866791,0.4951295497619971,0.6706303130153569,10
en,vpn,y_top,invariant_seen,23400,975,0.041666666666666664,0.700647823078424,0.9795277934996999,0.6256410256410256,0.8065401571062327,0.020860356265695594,0.5830015272367097,0.8013228364121283,0.4966129077853791,0.7394838183162887,0.7361047199000056,0.865668504381841,10
en,vpn,y_top,invariant_unseen,23400,975,0.041666666666666664,0.5655592906249027,0.9724835034159449,0.6215384615384615,0.7960638273846213,0.02519360570959484,0.4353200625319267,0.7241153009701538,0.4965861659682197,0.7441512396242901,0.709070422828097,0.8736411903729142,10
en,vpn,y_top,M2_full,23400,975,0.041666666666666664,0.6877121201194473,0.9796513735242832,0.6143589743589744,0.8321918842674069,0.02178302562914576,0.6088786917263643,0.7573129156144103,0.5036678880058549,0.711346609172144,0.7875125652351053,0.8745286214536542,10
tr,cosmetics,y_top,naive_position,1776,24,0.013513513513513514,0.12071502423596794,0.7556839802130898,0.16666666666666666,0.23462207306547742,0.046978522708612844,0.061838935454255894,0.27879620039129244,0.08333333333333333,0.2857142857142857,0.125,0.35714285714285715,3
tr,cosmetics,y_top,general_seen,1776,24,0.013513513513513514,0.146703380091222,0.6735873287671234,0.125,0.2772770319940536,0.013029691590871152,0.05199680258954762,0.26856527290586085,0.0,0.2857142857142857,0.08333333333333333,0.5374085010204165,3
tr,cosmetics,y_top,general_en_transfer,1776,24,0.013513513513513514,0.15552401146240005,0.7577054794520548,0.20833333333333334,0.3288662191964322,0.012926399977967146,0.04063599386078486,0.35174473333982537,0.0,0.42857142857142855,0.041666666666666664,0.652371901428583,3
tr,cosmetics,y_top,invariant_en_transfer,1776,24,0.013513513513513514,0.21442934146254125,0.8545471841704718,0.25,0.38144369866072037,0.012014609749232508,0.09016517421773351,0.5192737271477428,0.08333333333333333,0.42857142857142855,0.13591081279762146,0.652371901428583,3
tr,cosmetics,y_top,M2_full,1776,24,0.013513513513513514,0.2412134018027189,0.9582857686453577,0.16666666666666666,0.3868991050595311,0.012140587139228885,0.1588060498998881,0.42777777777777776,0.0,0.4,0.25197658452381916,0.5261859507142915,3
tr,vpn,y_top,naive_position,1368,57,0.041666666666666664,0.21107529576291303,0.8254178543230694,0.15789473684210525,0.41123205770677257,0.09308232349035472,0.1597436076467205,0.3030324440330682,0.059915094339622645,0.25,0.3424864910714342,0.4676569634328419,5
