track,category,target,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi
tr,ALL,y_mention,naive_frequency,13950,300,0.13584229390681005,0.3259841614062319,0.6322073740737539,,0.5941486427490352,0.12148447614196341,,,,
tr,ALL,y_mention,M0,13950,300,0.13584229390681005,0.4220620576127962,0.751588311706788,,0.6030818499715752,0.16963279328704783,,,,
tr,ALL,y_mention,M1,13950,300,0.13584229390681005,0.4969961945657878,0.8149027161131533,,0.7145860517668806,0.14853402056811632,,,,
tr,ALL,y_mention,M2,13950,300,0.13584229390681005,0.48790646283301914,0.8106499563894156,,0.7428401388905697,0.14621038982172838,,,,
tr,cosmetics,y_mention,naive_position,11100,150,0.11693693693693694,0.24416688069591036,0.6336805419100973,,0.25634461237783995,0.10503281090046962,0.18295636552657743,0.3229730949704861,0.0,0.0
tr,cosmetics,y_mention,naive_frequency,11100,150,0.11693693693693694,0.22035871372112648,0.5403678504654092,,0.5455687597346789,0.10981799972673964,0.14804530399104399,0.2881987296324204,0.11764705882352941,0.11764705882352941
tr,cosmetics,y_mention,M0,11100,150,0.11693693693693694,0.25738684823514885,0.6794270783390957,,0.4567193154284422,0.1702271008603871,0.19408769976861212,0.3472264699199743,0.17647058823529413,0.17647058823529413
tr,cosmetics,y_mention,M1,11100,150,0.11693693693693694,0.3802955092816015,0.7697105304442444,,0.6498828475766913,0.14323528674390215,0.3189134041247883,0.4747241808388666,0.17647058823529413,0.17647058823529413
tr,cosmetics,y_mention,M2,11100,150,0.11693693693693694,0.35840321230504957,0.760112633848191,,0.6916224429179632,0.15106838055853294,0.2837953913084744,0.4638266995036856,0.23529411764705882,0.23529411764705882
tr,vpn,y_mention,naive_position,2850,150,0.2094736842105263,0.3799230694365342,0.6693970667065169,,0.24172187983281523,0.16948832558689492,0.3465352914846473,0.42348456912299665,0.0,0.0
tr,vpn,y_mention,naive_frequency,2850,150,0.2094736842105263,0.5001689489541075,0.806135649396561,,0.6410533573835864,0.1669223316538876,0.38722607279038773,0.6183316637081328,0.0,1.0
tr,vpn,y_mention,M0,2850,150,0.2094736842105263,0.6633998870958824,0.881021842456847,,0.744397400564945,0.16731812168562107,0.5610428199789457,0.7700351686281607,0.0,1.0
tr,vpn,y_mention,M1,2850,150,0.2094736842105263,0.6921337586974088,0.894937031659258,,0.7770581109849942,0.1691711944097925,0.6323272830606627,0.7765768894988778,0.0,1.0
tr,vpn,y_mention,M2,2850,150,0.2094736842105263,0.697871447976616,0.9051054949254334,,0.7922917074158449,0.12728979432048942,0.6002775102806859,0.8374842842081508,0.0,1.0
en,ALL,y_top,naive_position,181467,6538,0.03602858922007858,0.11649550455353053,0.6964492888755822,0.12282043438360354,0.23127571440917127,0.08433304863426537,,,,
en,ALL,y_top,naive_frequency,181467,6538,0.03602858922007858,0.5893004431151933,0.9237314952695374,0.6489752217803609,0.720561965911378,0.0185190833528001,,,,
en,ALL,y_top,M0,181467,6538,0.03602858922007858,0.6575599480455916,0.9309528571029686,0.6489752217803609,0.7505395351297948,0.050456488121227924,,,,
en,ALL,y_top,M1,181467,6538,0.03602858922007858,0.6968326063372796,0.9484882514087555,0.6540226368920159,0.794128379412123,0.045218080126705175,,,,
en,ALL,y_top,M2,181467,6538,0.03602858922007858,0.6718191086926328,0.9473396230025071,0.6986846130315081,0.7875984645610307,0.033624735483346595,,,,
en,editors,y_top,naive_position,63900,2130,0.03333333333333333,0.11233391376922165,0.6794890708451237,0.09483568075117371,0.2012387383501032,0.07486656486291844,0.09738106806243237,0.13682189892571395,0.04643566926095752,0.1543746498599439
en,editors,y_top,naive_frequency,63900,2130,0.03333333333333333,0.801743754900506,0.9397052445806455,0.9131455399061033,0.9131455399061033,0.00566678773366792,0.5993308322656019,1.0,0.8109849007030661,1.0
en,editors,y_top,M0,63900,2130,0.03333333333333333,0.8299781163246998,0.9781790087565487,0.9131455399061033,0.9173708920187793,0.024478874366913806,0.6276258798866595,1.0,0.8109849007030661,1.0
en,editors,y_top,M1,63900,2130,0.03333333333333333,0.8618893581507011,0.9874277856443067,0.9131455399061033,0.9442312304124759,0.021271906099575313,0.6998286051986531,1.0,0.8109849007030661,1.0
en,editors,y_top,M2,63900,2130,0.03333333333333333,0.8381913143456937,0.9663187342716923,0.9131455399061033,0.9148502017622401,0.01302443837714644,0.6546886188580459,0.9998615012610449,0.8109849007030661,1.0
en,hosting,y_top,naive_position,47196,1311,0.027777777777777776,0.10626619923246639,0.7198596098909762,0.01906941266209001,0.1374524684183306,0.07778116334457115,0.089303703397889,0.12275421981683567,0.010516739945080306,0.029691385346451868
en,hosting,y_top,naive_frequency,47196,1311,0.027777777777777776,0.11509809097514746,0.7954039910242225,0.08390541571319603,0.14787732230849046,0.028689973493581725,0.06358645133122713,0.19116361517184194,0.009194286129161072,0.2133709379927911
en,hosting,y_top,M0,47196,1311,0.027777777777777776,0.13111032565587685,0.8180035536391802,0.08390541571319603,0.2945062602893195,0.0676847220954173,0.07113233891173029,0.25010405102294536,0.009194286129161072,0.2133709379927911
en,hosting,y_top,M1,47196,1311,0.027777777777777776,0.16493214312698293,0.8807697368317154,0.10907704042715484,0.4418480472839815,0.06259920664977388,0.11037892007317845,0.2493868847078902,0.03509805699686155,0.22612416999680893
en,hosting,y_top,M2,47196,1311,0.027777777777777776,0.19033737899520464,0.8955812324563274,0.2318840579710145,0.4335429080690919,0.05878900014936774,0.13838032839622694,0.2799282071997572,0.16465030318532095,0.3337279307143
en,travel,y_top,naive_position,38907,1441,0.037037037037037035,0.12903649432848283,0.6845113661785713,0.19361554476058293,0.2930233683379627,0.05761936972365503,0.08369782948451404,0.21922128856409184,0.09646513902295639,0.32833591331269346
en,travel,y_top,naive_frequency,38907,1441,0.037037037037037035,0.5463688101477473,0.9327997333358327,0.7814018043025677,0.8091181658149114,0.01682138597608331,0.23198169713562716,0.9598246972415966,0.485830794575706,0.9806513382608681
