category,condition,model_id,target,n_brands,n_events,n_never_named,independent_query_groups,n_eff,n_eff_lo,n_eff_hi,top3_share,top3_share_lo,top3_share_hi,hhi_normalised,hhi_normalised_lo,hhi_normalised_hi,track
travel,search_off,zai-org/GLM-5,y_mention,27,1564,2,10,11.366828379709661,6.782501414834629,14.9116592419171,0.4168797953964194,0.30629409867351187,0.5848845157128791,0.05289741442942297,0.031179372830326367,0.11464739460943242,en
travel,search_off,ALL,y_mention,27,7183,0,10,12.050862120712084,7.674055060052597,15.660817661587823,0.4189057496867604,0.3097726683747181,0.553230877743435,0.04771167703619025,0.027847997991210578,0.09685957656946687,en
travel,search_on,claude-opus-4-6,y_mention,27,2294,1,10,14.204449387008136,9.372870922659402,16.585007478823744,0.35701830863121187,0.2802434381812007,0.46065804560749246,0.034646648288125345,0.02415293672319602,0.07233286020523495,en
travel,search_on,gpt-5.4,y_mention,27,1552,4,10,8.90206890434551,5.744047378174755,11.986778730958546,0.5206185567010309,0.3990553199349674,0.6696956335208314,0.07819241576191374,0.048172375900535254,0.14232763041820518,en
travel,search_on,grok-4.20-0309-reasoning,y_mention,27,2019,1,10,12.365461676833801,8.394087745339942,14.862702378251878,0.40762753838533927,0.3199706834583747,0.5281173594132029,0.045519275648059625,0.031408766326456075,0.08525191001736829,en
travel,search_on,zai-org/GLM-5,y_mention,27,1728,0,10,10.226322819274632,7.134588400719843,12.620764685700017,0.47280092592592593,0.3811138891749923,0.5838868045951167,0.06308635483440173,0.04382044408093244,0.10709157292395402,en
travel,search_on,ALL,y_mention,27,7593,0,10,11.773751811133609,8.184669210991085,14.43159665391192,0.43026471750296325,0.33856103076526434,0.5437325613375503,0.04973987389365815,0.033495956742478794,0.08841744198858621,en
vpn,search_off,claude-opus-4-6,y_mention,24,1104,12,10,5.444497056222137,4.0314048683326975,6.383297826045183,0.693840579710145,0.5669345985267904,0.8490064792000729,0.14817915947508287,0.1199918277520956,0.21535911831722682,en
vpn,search_off,gpt-5.4,y_mention,24,988,13,8,5.977904612595841,4.919470842292307,6.481879449030706,0.6265182186234818,0.5746694300692627,0.7371933682904398,0.13107759582157158,0.11750564344664169,0.16863364902530034,en
vpn,search_off,grok-4.20-0309-reasoning,y_mention,24,1719,12,10,7.109338497997089,6.616224963225504,7.578522179411557,0.503781268179174,0.46538565758437545,0.547115008364648,0.10329745689426667,0.09421062317127936,0.11423679079968298,en
vpn,search_off,zai-org/GLM-5,y_mention,24,1166,10,10,6.052046794038567,5.291944217699862,6.583193275243082,0.6037735849056604,0.5458110529656961,0.6794886363636364,0.12893915366487296,0.11502813938140666,0.15370413902170083,en
vpn,search_off,ALL,y_mention,24,4977,7,10,6.53056791526947,5.976672503354642,6.973239236464745,0.566003616636528,0.5297429745461123,0.6236014059051153,0.11630543243370063,0.10616213238887323,0.13111358115212532,en
vpn,search_on,claude-opus-4-6,y_mention,24,1506,9,10,6.501502086868779,5.46735618527704,7.676693879242293,0.5650730411686586,0.500595329570661,0.634047656306592,0.11701976665196712,0.09244987843888958,0.14737783968214174,en
vpn,search_on,gpt-5.4,y_mention,24,1073,13,9,5.72256711284302,5.091502666102943,5.922303986376159,0.6169617893755825,0.5869539701979997,0.7038943376293139,0.13886617306948149,0.1327163862274276,0.16146678812218865,en
vpn,search_on,grok-4.20-0309-reasoning,y_mention,24,1568,10,10,6.4204902150239995,5.861089469354421,6.870634088147354,0.5325255102040816,0.502291080595904,0.5713286834946543,0.11904488392517609,0.10839684228962083,0.1345566024938301,en
vpn,search_on,zai-org/GLM-5,y_mention,24,1099,10,10,5.908631055754771,5.210903728154108,6.433491761152414,0.6114649681528662,0.5679748455594809,0.671843796566638,0.13312411132513444,0.11871644516416167,0.1567707391880252,en
vpn,search_on,ALL,y_mention,24,5246,8,10,6.291600139729431,5.728858616875569,6.834512331549133,0.5752954632100648,0.538323434157576,0.6135779345946345,0.12237434223538032,0.10919953648208024,0.1386659222341383,en
editors,search_off,claude-opus-4-6,y_top,30,260,28,10,1.0392006149116064,1.0,1.1277495768790289,1.0,1.0,1.0,0.9609773515609059,0.8828156655762058,1.0,en
editors,search_off,gpt-5.4,y_top,30,248,27,9,1.1288037293983775,1.0,1.4177145696667532,1.0,0.9999999999999999,1.0,0.8819588969823101,0.6952006551111152,1.0,en
editors,search_off,grok-4.20-0309-reasoning,y_top,30,287,25,10,1.3281680829449989,1.0,2.1094890510948905,0.9686411149825784,0.9252669039145908,1.0,0.7443966406846231,0.455912182317146,1.0,en
editors,search_off,zai-org/GLM-5,y_top,30,248,27,10,1.0757337251198096,1.0,1.2257906349595489,1.0,0.9999999999999999,1.0,0.9271704223330582,0.809448275862069,1.0,en
editors,search_off,ALL,y_top,30,1043,24,10,1.1430911668188546,1.0,1.3740906279495237,0.9702780441035476,0.9437613421579771,1.0,0.8705043400895428,0.7183662440247326,1.0,en
editors,search_on,claude-opus-4-6,y_top,30,274,27,10,1.2196770315495336,1.0,1.7593265103994717,0.9999999999999999,0.9999999999999999,1.0,0.813678460998602,0.5535165425356378,1.0,en
editors,search_on,gpt-5.4,y_top,30,260,27,10,1.2559919735424179,1.0,1.7135240768394306,0.9999999999999999,0.9999999999999999,1.0,0.7891552744337887,0.5692338972348961,1.0,en
editors,search_on,grok-4.20-0309-reasoning,y_top,30,290,25,10,1.3968707437796897,1.0,2.2138307666870105,0.9586206896551724,0.8784722222222222,1.0,0.706088810529337,0.4328947429256208,1.0,en
editors,search_on,zai-org/GLM-5,y_top,30,263,26,10,1.121908098551571,1.0,1.3690087717232948,0.9961977186311787,0.9912663755458516,1.0,0.8875916608047953,0.721160878074086,1.0,en
editors,search_on,ALL,y_top,30,1087,24,10,1.2505373874555619,1.0,1.6320570872168196,0.9659613615455381,0.9422476182902875,1.0,0.7927478136099628,0.5993693104830761,1.0,en
hosting,search_off,claude-opus-4-6,y_top,36,65,27,7,4.817559863169897,1.641752174004369,5.1182943603851445,0.7230769230769231,0.6885245901639344,1.0,0.18493322062552836,0.17238837486082853,0.5979376960868374,en
hosting,search_off,gpt-5.4,y_top,36,129,28,9,3.037233071728418,1.2739372121877508,4.335057438271232,0.8527131782945736,0.7519984496124031,0.9929090500449506,0.3100826701692034,0.20869680680764088,0.7788243610186455,en
hosting,search_off,grok-4.20-0309-reasoning,y_top,36,227,24,10,4.676377166712042,2.411943899465792,5.725762896019794,0.7180616740088106,0.6153587443946189,0.9455629653874477,0.1913790570081203,0.1510677659250716,0.3978777912739296,en
hosting,search_off,zai-org/GLM-5,y_top,36,155,23,9,4.4204231830726775,1.972046692270104,5.296934721505007,0.7161290322580645,0.6762490697097494,0.9530318401748088,0.2041147614092463,0.1656109585679145,0.49300450370255805,en
hosting,search_off,ALL,y_top,36,576,18,10,4.615179167594035,2.3282259780198062,5.845713201119663,0.7135416666666667,0.6377608637444677,0.915097671869909,0.19429563492063492,0.14738170115105964,0.4132119652378103,en
hosting,search_on,claude-opus-4-6,y_top,36,176,26,9,5.392757660167131,2.1739119137535905,6.138034756989963,0.6988636363636364,0.6056139254884143,0.9521029369831765,0.16216056670602125,0.1390019845420972,0.44457167445627255,en
hosting,search_on,gpt-5.4,y_top,36,199,25,9,3.8030346682032072,1.8359476177229666,5.178809079033388,0.7889447236180905,0.6922995780590717,0.9787256581319871,0.24188927408038038,0.1700401763618327,0.5316686742463869,en
hosting,search_on,grok-4.20-0309-reasoning,y_top,36,209,25,10,4.9575530586766545,2.240764855215661,5.9064308246649775,0.7177033492822966,0.6159947368421053,0.937991673844387,0.17890419829478002,0.1455729017060965,0.4304555086718227,en
hosting,search_on,zai-org/GLM-5,y_top,36,151,22,10,6.303842963782139,2.780980796549073,6.648423172228172,0.609271523178808,0.5620422875067865,0.8482810867293626,0.13459434736571704,0.12613765119234507,0.34128812037283335,en
hosting,search_on,ALL,y_top,36,735,18,10,5.4443347072873305,2.5516061657384475,6.872481211618184,0.6734693877551021,0.5499336402752911,0.8697465774640616,0.16035366216457428,0.12109379797829643,0.3745368628267657,en
travel,search_off,claude-opus-4-6,y_top,27,84,25,4,1.8251422659079153,1.0,1.9986397624799064,1.0,1.0,1.0,0.5305141287284144,0.4811226102624686,1.0,en
travel,search_off,gpt-5.4,y_top,27,146,25,8,1.4848147116188357,1.0,1.9962264150943396,1.0,1.0,1.0,0.6609264257978837,0.48175076341427947,1.0,en
travel,search_off,grok-4.20-0309-reasoning,y_top,27,246,22,10,1.4271968303381917,1.0,2.448794239286698,0.9715447154471545,0.9291044776119404,1.0,0.6891616711664301,0.3856090243617433,1.0,en
travel,search_off,zai-org/GLM-5,y_top,27,196,24,9,1.303120759837178,1.0,1.934975378467033,1.0,0.9999999999999999,1.0,0.7584419953224617,0.4982179263575071,1.0,en
travel,search_off,ALL,y_top,27,672,22,10,1.4779768411544076,1.0,2.4556907048472527,0.9806547619047619,0.9578720352203918,1.0,0.6641621492346937,0.3844180763736059,1.0,en
travel,search_on,claude-opus-4-6,y_top,27,195,23,10,1.335381913959614,1.0,2.1816132510877613,0.9948717948717949,0.9842105263157895,1.0,0.7391898042785616,0.43754477209392767,1.0,en
